0.1;0.06395807087
0.2;0.09793533067
0.3;0.1266661379
0.4;0.149963071
0.5;0.1798806198
0.6;0.1925388139
0.7;0.2171414494
0.8;0.225631303
0.9;0.245281392
1;0.2599271795
1.1;0.2698432737
1.2;0.2753377071
1.3;0.2907488987
1.4;0.296963156
1.5;0.2990676919
1.6;0.3060463689
1.7;0.3132621349
1.8;0.320675491
1.9;0.3199975643
2;0.3278318142
2.1;0.3278294286
2.2;0.3320630713
2.3;0.3326590053
2.4;0.341033405
2.5;0.3420223251
2.6;0.3432426545
2.7;0.344668695
2.8;0.342771803
2.9;0.3445981692
3;0.3465692668
3.1;0.3554085307
3.2;0.3475888906
3.3;0.3467085523
3.4;0.3460122633
3.5;0.3486321544
3.6;0.348212587
3.7;0.3510095205
3.8;0.3477947322
3.9;0.3477748348
4;0.3478683573
4.1;0.3509857911
4.2;0.345490173
4.3;0.3487503197
4.4;0.3464113634
4.5;0.3469911496
4.6;0.3449007531
4.7;0.3456474763
4.8;0.3437762701
4.9;0.3420222289
5;0.3403783227
5.1;0.3388380678
5.2;0.3399466821
5.3;0.3385669759
5.4;0.3372753774
5.5;0.3360670903
5.6;0.339845092
5.7;0.3387393114
5.8;0.3377061209
5.9;0.3367418248
6;0.3358429876
6.5;0.3277201897
7;0.3190767663
7.5;0.3119122483
8;0.3039975145
8.5;0.2990978333
9;0.2914058951
9.5;0.2846551259
10;0.2787043503
10.5;0.2718284536
11;0.2672060973
12;0.2550384424
13;0.2435608309
14;0.2338513614
15;0.2243322247
16;0.216081053
17;0.2077674733
18;0.1993685736
19;0.1928833468
20;0.1870866161
